age_group,gendr,variation,average_calls_6_mnth,average_logons_6_mnth,total_clients
18-34,F,control,2.75,5.78,1442
18-34,F,test,2.57,5.6,1717
18-34,M,control,3.5,6.52,1713
18-34,M,test,3.39,6.4,2027
18-34,U,control,3.22,6.23,3366
18-34,U,test,3.12,6.14,3955
35-44,F,control,2.52,5.55,1262
35-44,F,test,2.51,5.53,1534
35-44,M,control,3.12,6.14,1445
35-44,M,test,3.16,6.18,1594
35-44,U,control,2.87,5.89,1236
35-44,U,test,2.68,5.71,1411
45-54,F,control,2.66,5.71,1643
45-54,F,test,2.73,5.78,1947
45-54,M,control,3.33,6.37,1641
45-54,M,test,3.25,6.28,1897
45-54,U,control,2.79,5.81,1305
45-54,U,test,2.8,5.84,1493
55-64,F,control,2.98,6.02,1878
55-64,F,test,2.96,6.02,2055
55-64,M,control,3.58,6.62,1804
55-64,M,test,3.53,6.56,1974
55-64,U,control,3.08,6.12,1368
55-64,U,test,3.05,6.09,1569
65+,F,control,3.2,6.29,1290
65+,F,test,3.12,6.22,1432
65+,M,control,3.79,6.87,1337
65+,M,test,3.71,6.81,1454
65+,U,control,3.52,6.6,677
65+,U,test,3.33,6.4,773
