age_group,variation,total_actions,total_errors,error_rate,error_rate_percent
18-34,control,36657,2423,0.06609924434623674,6.61
18-34,test,44700,3310,0.07404921700223714,7.4
35-44,control,22320,1409,0.06312724014336918,6.31
35-44,test,27056,2113,0.07809727971614429,7.81
45-54,control,27585,1925,0.06978430306325901,6.98
45-54,test,35298,3522,0.0997790243073262,9.98
55-64,control,31779,2414,0.07596211334529092,7.6
55-64,test,40978,4676,0.11411001024940212,11.41
65+,control,21257,1734,0.0815731288516724,8.16
65+,test,27626,3361,0.12166075436183306,12.17
