process_step,variation,total_actions,total_errors,error_rate,error_rate_percent
confirm,control,17219,49,0.002845693710436146,0.28
confirm,test,25466,62,0.0024346187072960025,0.24
start,control,45187,4788,0.10595967866864364,10.6
start,test,55562,10477,0.18856412656131888,18.86
step_1,control,29391,2294,0.07805110407948011,7.81
step_1,test,38492,3398,0.08827808375766392,8.83
step_2,control,25625,2471,0.09642926829268293,9.64
step_2,test,30748,2639,0.0858267204371016,8.58
step_3,control,22366,311,0.013905034427255656,1.39
step_3,test,25630,421,0.016426063207179088,1.64
